Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Sandy León#,29,89,288,265,30,47,12,0,5,22,1,0,15,75,.177,.232,.279,.511,37,74,6,4,3,1,0,leonsa01
2,1B,Mitch Moreland*,32,124,459,404,57,99,23,4,15,68,2,0,50,102,.245,.325,.433,.758,102,175,12,0,0,5,2,morelmi01
3,2B,Eduardo Núñez,31,127,502,480,56,127,23,3,10,44,7,2,16,69,.265,.289,.388,.677,81,186,17,2,1,3,0,nunezed02
4,SS,Xander Bogaerts,25,136,580,513,72,148,45,3,23,103,8,2,55,102,.288,.360,.522,.883,135,268,14,6,0,6,4,bogaexa01
5,3B,Rafael Devers*,21,121,490,450,59,108,24,0,21,66,5,2,38,121,.240,.298,.433,.731,94,195,9,0,0,2,6,deverra01
6,LF,Andrew Benintendi*,23,148,661,579,103,168,41,6,16,87,21,3,71,106,.290,.366,.465,.830,123,269,9,2,2,7,1,beninan01
7,CF,Jackie Bradley Jr.*,28,144,535,474,76,111,33,4,13,59,17,1,46,137,.234,.314,.403,.717,92,191,6,11,0,4,3,bradlja02
8,RF,Mookie Betts,25,136,614,520,129,180,47,5,32,80,30,6,81,91,.346,.438,.640,1.078,186,333,5,8,0,5,8,bettsmo01
9,DH,J.D. Martinez,30,150,649,569,111,188,37,2,43,130,6,1,69,146,.330,.402,.629,1.031,173,358,19,4,0,7,11,martijd02
10,MI,Brock Holt*,30,109,367,321,41,89,18,2,7,46,7,7,37,73,.277,.362,.411,.774,109,132,7,7,0,2,2,holtbr01
11,C,Christian Vázquez,27,80,269,251,24,52,10,0,3,16,4,1,13,41,.207,.257,.283,.540,46,71,5,4,1,0,1,vazquch01
12,UT,Blake Swihart#,26,82,207,192,28,44,10,0,3,18,6,1,15,57,.229,.285,.328,.613,65,63,4,0,0,0,0,swihabl01
13,1B,Hanley Ramírez,34,44,195,177,25,45,7,0,6,29,4,1,14,35,.254,.313,.395,.708,90,70,9,2,0,2,0,ramirha01
14,1B,Steve Pearce,35,50,165,136,19,38,8,1,7,26,0,0,22,27,.279,.394,.507,.901,141,69,1,5,0,2,0,pearcst01
15,2B,Ian Kinsler,36,37,143,132,17,32,6,0,1,16,7,3,10,24,.242,.294,.311,.604,64,41,5,0,0,1,0,kinslia01
16,SS,Tzu-Wei Lin*,24,37,73,65,15,16,6,1,1,6,0,1,8,17,.246,.329,.415,.744,100,27,0,0,0,0,0,lintz02
17,UT,Sam Travis,24,19,38,36,5,8,3,0,1,7,0,0,2,10,.222,.263,.389,.652,73,14,1,0,0,0,0,travisa01
18,IF,Brandon Phillips,37,9,27,23,4,3,0,0,1,2,0,0,4,7,.130,.259,.261,.520,42,6,1,0,0,0,0,phillbr01
19,2B,Dustin Pedroia,34,3,13,11,1,1,0,0,0,0,0,0,2,1,.091,.231,.091,.322,-7,1,0,0,0,0,0,pedrodu01
20,C,Dan Butler,31,2,7,6,0,1,0,0,0,1,0,0,0,2,.167,.143,.167,.310,-17,1,0,0,0,1,0,butleda01
21,,Tony Renda,27,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,rendato01
22,P,Rick Porcello,29,3,7,7,1,3,2,0,0,3,0,0,0,3,.429,.429,.714,1.143,201,5,0,0,0,0,0,porceri01
23,P,Brian Johnson*,27,2,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,36,1,0,0,0,0,0,johnsbr02
24,P,Nathan Eovaldi,28,2,3,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,3,0,0,0,0,0,0,eovalna01
25,P,Chris Sale*,29,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,salech01
26,P,Eduardo Rodríguez*,25,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,rodried05
27,P,Héctor Velázquez,29,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,velazhe01
28,P,Heath Hembree,29,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,hembrhe01
29,P,Carson Smith,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,smithca02
30,P,Jalen Beeks*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,beeksja02
31,P,Steven Wright,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,wrighst01
32,P,Drew Pomeranz,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pomerdr01
33,P,Bobby Poyner*,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,poynebo01
34,P,Craig Kimbrel,30,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kimbrcr01
35,P,Brandon Workman,29,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,workmbr01
36,P,Joe Kelly,30,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kellyjo05
37,P,David Price*,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,priceda01
38,P,Justin Haley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,haleyju01
39,P,William Cuevas,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,cuevawi01
40,P,Ryan Brasier,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brasiry01
41,P,Tyler Thornburg,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,thornty01
42,P,Matt Barnes,28,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,barnema01
43,P,Robby Scott#,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,scottro02
44,P,Marcus Walden,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,waldema01
,,Team Totals,27.8,162,6302,5623,876,1509,355,31,208,829,125,31,569,1253,.268,.339,.453,.792,112,2550,130,55,7,48,38,-9999
,,Rank in 15 AL teams,,,,1,1,1,1,5,6,,3,9,2,4,1,1,1,1,,1,,13,,3,,-9999
,,Non-Pitcher Totals,27.8,162,6282,5604,873,1505,353,31,208,826,125,31,568,1243,.269,.339,.454,.793,112,2544,130,55,7,48,38,-9999
,,Pitcher Totals,25.2,162,20,19,3,4,2,0,0,3,0,0,1,10,.211,.250,.316,.566,52,6,0,0,0,0,0,-9999
