Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Salvador Perez,25,142,553,531,52,138,25,0,21,70,1,0,13,82,.260,.280,.426,.706,88,226,23,4,0,5,4,perezsa02
2,1B,Eric Hosmer*,25,158,667,599,98,178,33,5,18,93,7,3,61,108,.297,.363,.459,.822,122,275,16,3,1,3,6,hosmeer01
3,2B,Omar Infante,33,124,455,440,39,97,23,7,2,44,2,2,9,69,.220,.234,.318,.552,48,140,8,0,2,4,0,infanom01
4,SS,Alcides Escobar,28,148,662,612,76,157,20,5,3,47,17,5,26,75,.257,.293,.320,.614,67,196,10,8,11,5,1,escobal02
5,3B,Mike Moustakas*,26,147,614,549,73,156,34,1,22,82,1,2,43,76,.284,.348,.470,.817,119,258,14,13,4,5,1,moustmi01
6,LF,Alex Gordon*,31,104,422,354,40,96,18,0,13,48,2,5,49,92,.271,.377,.432,.809,119,153,2,14,0,5,7,gordoal01
7,CF,Lorenzo Cain,29,140,604,551,101,169,34,6,16,72,28,6,37,98,.307,.361,.477,.838,125,263,16,12,0,4,4,cainlo01
8,RF,Alex Ríos,34,105,411,385,40,98,22,2,4,32,9,0,15,67,.255,.287,.353,.640,73,136,10,5,0,6,0,riosal01
9,DH,Kendrys Morales#,32,158,639,569,81,165,41,2,22,106,0,0,58,103,.290,.362,.485,.847,127,276,24,8,0,4,4,moralke01
10,UT,Ben Zobrist#,34,59,264,232,37,66,16,1,7,23,2,3,29,30,.284,.364,.453,.816,120,105,3,1,0,2,1,zobribe01
11,OF,Paulo Orlando,29,86,251,241,31,60,14,6,7,27,3,3,5,53,.249,.269,.444,.713,89,107,0,2,2,1,0,orlanpa01
12,OF,Jarrod Dyson*,30,90,225,200,31,50,8,6,2,18,26,3,14,37,.250,.311,.380,.691,86,76,3,4,6,1,0,dysonja01
13,MI,Christian Colón,26,43,119,107,8,31,5,0,0,6,3,2,11,17,.290,.356,.336,.692,90,36,2,0,1,0,0,colonch01
14,C,Drew Butera,31,45,99,86,6,17,3,0,1,5,0,0,6,24,.198,.266,.267,.533,46,23,0,2,5,0,0,buterdr01
15,3B,Cheslor Cuthbert,22,19,50,46,6,10,2,1,1,8,0,0,4,9,.217,.280,.370,.650,74,17,0,0,0,0,0,cuthbch01
16,DH,Jonny Gomes,34,12,34,30,2,5,2,0,0,4,0,0,3,14,.167,.235,.233,.469,28,7,1,0,0,1,0,gomesjo01
17,C,Francisco Peña,25,8,7,7,0,1,0,0,0,0,0,0,0,3,.143,.143,.143,.286,-22,1,1,0,0,0,0,penafr01
18,3B,Dusty Coleman,28,4,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,colemdu01
19,C,Erik Kratz,35,4,5,4,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,1,0,kratzer01
20,DH,Terrance Gore,24,9,4,3,1,0,0,0,0,0,3,0,0,1,.000,.250,.000,.250,-23,0,0,1,0,0,0,gorete01
21,SS,Orlando Calixte,23,2,3,3,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,calixor01
22,P,Yordano Ventura,24,3,6,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,ventuyo01
23,P,Edinson Vólquez,31,3,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,volqued01
24,P,Jeremy Guthrie,36,2,5,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,37,1,0,0,1,0,0,guthrje01
25,P,Chris Young,36,3,4,4,0,2,0,0,0,3,0,0,0,1,.500,.500,.500,1.000,173,2,0,0,0,0,0,youngch03
26,P,Kris Medlen#,29,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,medlekr01
27,P,Joe Blanton,34,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,blantjo01
28,P,Brandon Finnegan*,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,finnebr01
29,P,Scott Alexander*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,alexasc02
30,P,Joba Chamberlain,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,chambjo03
31,P,Miguel Almonte,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,almonmi01
32,P,Greg Holland,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hollagr01
33,P,Johnny Cueto,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,cuetojo01
34,P,Louis Coleman,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,colemlo01
35,P,Jason Frasor,37,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,frasoja01
36,P,Ryan Madson*,34,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,madsory01
37,P,Franklin Morales*,29,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,moralfr01
38,P,Yohan Pino,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pinoyo01
39,P,Danny Duffy*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,duffyda01
40,P,Kelvin Herrera,25,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,herreke01
41,P,Michael Mariot,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mariomi01
42,P,Luke Hochevar,31,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hochelu01
43,P,Aaron Brooks,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brookaa01
44,P,Jason Vargas*,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,vargaja01
45,P,Wade Davis,29,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,daviswa01
