Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
43,P,Jimmy Herget,30,0,0,,,,,,,,,,,,,,,,,,,,,,,hergeji01
44,P,John Brebbia*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,brebbjo01
45,P,AJ Smith-Shawver (40-man),21,0,0,,,,,,,,,,,,,,,,,,,,,,,smithaj01
46,P,Raisel Iglesias,34,0,0,,,,,,,,,,,,,,,,,,,,,,,iglesra01
47,P,Parker Dunshee,29,0,0,,,,,,,,,,,,,,,,,,,,,,,dunshpa01
48,P,A.J. Minter* (60-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,,minteaj01
49,P,Hurston Waldrep (40-man),22,0,0,,,,,,,,,,,,,,,,,,,,,,,waldrhu01
50,P,Spencer Strider (60-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,stridsp01
51,P,Reynaldo López (15-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,,lopezre01
52,P,Ray Kerr* (60-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,kerrra01
53,P,Jesse Chavez,40,0,0,,,,,,,,,,,,,,,,,,,,,,,chaveje01
54,P,Daysbel Hernández,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hernada03
55,P,Charlie Morton,40,0,0,,,,,,,,,,,,,,,,,,,,,,,mortoch02
,,Team Totals,29.4,156,5858,5288,682,1288,265,15,206,654,64,20,464,1409,.244,.309,.416,.725,100,2201,116,56,9,39,11,-9999
,,Rank in 15 NL teams,,,,6,9,8,4,14,2,,15,2,10,12,8,8,6,7,,6,,9,,12,,-9999
