Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Framber Valdez*,28,17,6,.739,2.82,31,31,0,3,1,0,201.1,166,71,63,11,67,0,194,11,1,11,827,135,3.06,1.157,7.4,0.5,3.0,8.7,2.90,valdefr01
2,SP,Justin Verlander,39,18,4,.818,1.75,28,28,0,0,0,0,175.0,116,43,34,12,29,0,185,6,0,3,666,218,2.49,0.829,6.0,0.6,1.5,9.5,6.38,verlaju01
3,SP,José Urquidy,27,13,8,.619,3.94,29,28,0,0,0,0,164.1,154,74,72,29,38,0,134,7,0,5,681,97,4.60,1.168,8.4,1.6,2.1,7.3,3.53,urquijo01
4,SP,Luis Garcia,25,15,8,.652,3.72,28,28,0,0,0,0,157.1,131,70,65,23,47,0,157,1,1,8,643,103,3.93,1.131,7.5,1.3,2.7,9.0,3.34,garcilu05
5,SP,Cristian Javier,25,11,9,.550,2.54,30,25,0,0,0,0,148.2,89,44,42,17,52,0,194,6,1,5,585,150,3.16,0.948,5.4,1.0,3.1,11.7,3.73,javiecr01
6,SP,Jake Odorizzi,32,4,3,.571,3.75,12,12,0,0,0,0,60.0,52,29,25,5,17,0,46,2,0,2,245,102,3.61,1.150,7.8,0.8,2.6,6.9,2.71,odorija01
7,CL,Ryan Pressly,33,3,3,.500,2.98,50,0,43,0,0,33,48.1,30,17,16,4,13,0,65,0,0,0,182,129,2.31,0.890,5.6,0.7,2.4,12.1,5.00,pressry01
8,RP,Rafael Montero,31,5,2,.714,2.37,71,0,25,0,0,14,68.1,47,22,18,3,23,2,73,2,0,1,270,161,2.64,1.024,6.2,0.4,3.0,9.6,3.17,montera01
9,RP,Phil Maton,29,0,2,.000,3.84,67,0,10,0,0,0,65.2,58,34,28,10,24,2,73,8,0,0,281,100,4.33,1.249,7.9,1.4,3.3,10.0,3.04,matonph01
10,RP,Héctor Neris,33,6,4,.600,3.72,70,0,26,0,0,3,65.1,49,29,27,3,17,0,79,6,1,6,263,103,2.35,1.010,6.8,0.4,2.3,10.9,4.65,nerishe01
11,RP,Ryne Stanek,30,2,1,.667,1.15,59,0,10,0,0,1,54.2,36,8,7,2,31,1,62,0,0,4,224,333,3.02,1.226,5.9,0.3,5.1,10.2,2.00,stanery01
12,,Bryan Abreu,25,4,0,1.000,1.94,55,0,18,0,0,2,60.1,45,16,13,2,26,0,88,4,0,7,248,198,2.12,1.177,6.7,0.3,3.9,13.1,3.38,abreubr01
13,,Lance McCullers Jr.,28,4,2,.667,2.27,8,8,0,0,0,0,47.2,37,12,12,4,22,0,50,0,0,1,195,169,3.49,1.238,7.0,0.8,4.2,9.4,2.27,mcculla02
14,,Seth Martinez,27,1,1,.500,2.09,29,0,7,0,0,0,38.2,26,10,9,3,14,1,38,1,0,0,155,184,3.32,1.034,6.1,0.7,3.3,8.8,2.71,martise01
15,,Will Smith*,32,0,2,.000,3.27,24,0,6,0,0,0,22.0,23,10,8,2,4,0,24,0,1,0,90,118,2.66,1.227,9.4,0.8,1.6,9.8,6.00,smithwi04
16,,Hunter Brown,23,2,0,1.000,0.89,7,2,0,0,0,0,20.1,15,2,2,0,7,0,22,0,0,0,80,438,1.98,1.082,6.6,0.0,3.1,9.7,3.14,brownhu01
17,,Blake Taylor*,26,1,1,.500,3.94,19,0,4,0,0,0,16.0,15,7,7,1,10,0,9,1,0,2,75,99,4.86,1.563,8.4,0.6,5.6,5.1,0.90,taylobl01
18,,Brandon Bielak,26,0,0,,3.65,5,0,2,0,0,0,12.1,11,5,5,2,4,0,12,3,0,1,54,108,4.98,1.216,8.0,1.5,2.9,8.8,3.00,bielabr01
19,,Parker Mushinski*,26,0,0,,3.68,7,0,1,0,0,0,7.1,5,3,3,0,3,0,8,1,0,0,30,109,2.57,1.091,6.1,0.0,3.7,9.8,2.67,mushipa01
20,,Ronel Blanco,28,0,0,,7.11,7,0,3,0,0,0,6.1,8,5,5,1,4,0,7,1,0,0,32,57,5.32,1.895,11.4,1.4,5.7,9.9,1.75,blancro01
21,,Enoli Paredes,26,0,0,,3.00,3,0,3,0,0,0,3.0,3,1,1,0,3,0,2,0,0,0,14,144,4.78,2.000,9.0,0.0,9.0,6.0,0.67,pareden01
22,,Pedro Báez,34,0,0,,11.57,3,0,1,0,0,0,2.1,5,6,3,0,3,0,2,0,1,0,16,39,5.25,3.429,19.3,0.0,11.6,7.7,0.67,baezpe01
,,Team Totals,29.2,106,56,.654,2.90,162,162,159,3,1,53,1445.1,1121,518,465,134,458,6,1524,60,6,56,5856,132,3.28,1.092,7.0,0.8,2.9,9.5,3.33,-9999
,,Rank in 15 AL teams,,1,15,,1,,,,2,1,1,5,1,1,1,1,7,,1,,,,,,,,,,,,,-9999
