Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Dane Dunning,28,12,7,.632,3.70,35,26,2,0,0,0,172.2,163,73,71,20,55,0,140,10,0,6,722,115,4.27,1.263,8.5,1.0,2.9,7.3,2.55,dunnida01
2,SP,Jon Gray,31,9,8,.529,4.12,29,29,0,1,0,0,157.1,149,75,72,22,54,1,142,9,0,4,656,103,4.47,1.290,8.5,1.3,3.1,8.1,2.63,grayjo02
3,SP,Andrew Heaney*,32,10,6,.625,4.15,34,28,1,0,0,0,147.1,143,74,68,23,60,0,151,10,0,3,641,102,4.66,1.378,8.7,1.4,3.7,9.2,2.52,heanean01
4,SP,Nathan Eovaldi,33,12,5,.706,3.63,25,25,0,2,1,0,144.0,117,59,58,15,47,0,132,6,0,2,577,117,3.88,1.139,7.3,0.9,2.9,8.3,2.81,eovalna01
5,SP,Martín Pérez*,32,10,4,.714,4.45,35,20,3,0,0,0,141.2,150,74,70,21,49,1,93,4,3,2,608,96,4.99,1.405,9.5,1.3,3.1,5.9,1.90,perezma02
6,SP,Jordan Montgomery*,30,4,2,.667,2.79,11,11,0,0,0,0,67.2,61,21,21,6,13,0,58,0,0,3,268,153,3.27,1.094,8.1,0.8,1.7,7.7,4.46,montgjo01
7,CL,Will Smith*,33,2,7,.222,4.40,60,0,41,0,0,22,57.1,44,31,28,5,17,4,55,0,0,1,226,97,3.36,1.064,6.9,0.8,2.7,8.6,3.24,smithwi04
8,RP,Brock Burke*,26,5,3,.625,4.37,53,0,9,0,0,0,59.2,64,32,29,13,9,4,52,2,0,2,250,97,4.90,1.223,9.7,2.0,1.4,7.8,5.78,burkebr01
9,RP,José Leclerc,29,0,2,.000,2.68,57,0,24,0,0,4,57.0,37,19,17,5,28,2,67,2,0,2,233,159,3.62,1.140,5.8,0.8,4.4,10.6,2.39,leclejo01
10,RP,Josh Sborz,29,6,7,.462,5.50,44,0,7,0,0,0,52.1,43,33,32,8,17,0,66,1,0,3,215,78,3.75,1.146,7.4,1.4,2.9,11.4,3.88,sborzjo01
11,RP,Jonathan Hernández,26,1,2,.333,5.40,33,0,8,0,0,0,31.2,35,20,19,4,15,1,34,4,0,2,147,79,4.55,1.579,9.9,1.1,4.3,9.7,2.27,hernajo02
12,,Cody Bradford*,25,4,3,.571,5.30,20,8,5,0,0,0,56.0,56,33,33,11,12,0,51,1,0,0,234,80,4.68,1.214,9.0,1.8,1.9,8.2,4.25,bradfco01
13,,Max Scherzer,38,4,2,.667,3.20,8,8,0,0,0,0,45.0,28,16,16,5,15,0,53,1,0,1,177,133,3.41,0.956,5.6,1.0,3.0,10.6,3.53,scherma01
14,,Grant Anderson,26,2,1,.667,5.05,26,0,2,0,0,0,35.2,38,20,20,5,14,1,30,1,0,1,154,85,4.66,1.458,9.6,1.3,3.5,7.6,2.14,andergr01
15,,Jacob deGrom,35,2,0,1.000,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,0,45,0,0,1,115,161,1.54,0.758,5.6,0.6,1.2,13.4,11.25,degroja01
16,,Chris Stratton,32,1,0,1.000,3.41,22,0,4,0,0,0,29.0,24,11,11,4,8,0,22,1,0,1,117,126,4.46,1.103,7.4,1.2,2.5,6.8,2.75,stratch01
17,,Aroldis Chapman*,35,2,3,.400,3.72,30,0,9,0,0,4,29.0,21,14,12,4,16,2,50,1,1,7,127,115,3.36,1.276,6.5,1.2,5.0,15.5,3.13,chapmar01
18,,Cole Ragans*,25,2,3,.400,5.92,17,0,1,0,0,0,24.1,20,17,16,4,14,1,24,1,0,2,106,73,5.27,1.397,7.4,1.5,5.2,8.9,1.71,raganco01
19,,John King*,28,1,1,.500,5.79,15,0,8,0,0,0,18.2,26,12,12,1,4,0,10,0,0,0,81,75,3.52,1.607,12.5,0.5,1.9,4.8,2.50,kingjo01
20,,Ian Kennedy,38,0,1,.000,7.16,16,0,7,0,0,0,16.1,16,15,13,4,7,0,21,2,0,1,75,60,5.52,1.408,8.8,2.2,3.9,11.6,3.00,kenneia01
21,,Yerry Rodríguez,25,0,1,.000,7.90,13,1,8,0,0,0,13.2,20,12,12,1,6,1,15,0,0,1,66,55,3.33,1.902,13.2,0.7,4.0,9.9,2.50,rodriye01
22,,Glenn Otto,27,0,0,,10.13,6,0,2,0,0,0,10.2,14,12,12,6,6,0,11,0,0,0,51,43,10.19,1.875,11.8,5.1,5.1,9.3,1.83,ottogl01
23,,Joe Barlow,27,1,1,.500,4.66,13,0,4,0,0,0,9.2,13,5,5,2,2,0,6,0,0,0,44,94,5.32,1.552,12.1,1.9,1.9,5.6,3.00,barlojo01
24,,Taylor Hearn*,28,0,0,,10.29,4,0,2,0,0,0,7.0,9,8,8,1,4,0,7,0,0,0,34,43,4.83,1.857,11.6,1.3,5.1,9.0,1.75,hearnta01
25,,Jacob Latz*,27,0,0,,0.00,3,0,2,0,0,0,6.1,1,0,0,0,3,0,5,0,0,0,22,,3.10,0.632,1.4,0.0,4.3,7.1,1.67,latzja01
26,,Owen White,23,0,1,.000,11.25,2,0,1,0,0,0,4.0,5,5,5,2,2,0,4,0,0,0,19,41,9.26,1.750,11.3,4.5,4.5,9.0,2.00,whiteow01
27,,Austin Hedges,30,0,0,,4.91,4,0,4,0,0,0,3.2,5,2,2,1,0,0,1,1,0,0,16,95,7.07,1.364,12.3,2.5,0.0,2.5,,hedgeau01
28,,Spencer Howard,26,0,0,,10.80,3,0,2,0,0,0,3.1,4,4,4,1,3,0,2,1,0,0,18,43,9.56,2.100,10.8,2.7,8.1,5.4,0.67,howarsp01
